text,label
"Bachelors of Science , Psychology 2012 University of Phoenix ï¼​ City , State",Education
"Master of Science , Counseling and Clinical Psychology Troy University ï¼​ City , State",Education
Additional Skill-Building Training:,Courses & Certificates
"2003 Customer Service Training- The Savannah Morning News,",Courses & Certificates
"2002 Advertising Legal Issues Training Class- The Augusta Chronicle,",Courses & Certificates
1997 Telephone Skills Workshop- The Augusta Chronicle,Skills
Skills,Skills
"Digital advertising, Needs analysis, Proposal Generation, Recruitment advertising, Telephone Skills.",Skills
Skills,Skills
"Outlook, Excel, Word, PowerPoint, QuickBooks and OneNote",Skills
Experience,Experience
"Inquired about buying experience, item preferences and future purchases.",Experience
Education and Training,Courses & Certificates
"Bachelor of Arts : Business Administration Management Eastern Oregon University ï¼​ City , State Business Administration Management",Education
Skills,Skills
"buying experience, documentation, inventory, selection of materials, Excel, Outlook, PowerPoint, Word, plumbing, QuickBooks",Experience
To obtain a full time position in Management Information Systems with emphasis on business analysis where I can demonstrate excellent,Skills
"leadership, business and team work skills to produce effective results.",Skills
Technical help desk experience,Experience
Strong analytical skills,Skills
Strong collaborative skills,Skills
Excellent problem solving skills,Skills
Strong Communication Skills,Skills
C++,Skills
Project Quality Control,Projects
Technical Skills,Skills
Skills Experience Total Years Last Used,Experience
IT Training Â,Courses & Certificates
Work Experience,Experience
"training and coaching employees, and facilitating change throughout the organization.",Courses & Certificates
Implemented a new sales-tracking POS system to replace a manual form writing process to increase efficiency. Provided employee training,Projects
"Recruited, hired, trained, developed, and directed retail sales teams for two retail Wireless Nation dealer stores.",Projects
Provides support and assistance to staff. Resolved customer complaints and concerns with strong verbal and negotiation skills. Displayed,Skills
courtesy and strong interpersonal skills with all customer interactions.,Skills
Collaborates with teachers and coordinators to assess and evaluate educational software to project future needs. Built and maintained,Projects
Education and Training,Courses & Certificates
"Masterof Science : Information Systems , 2016 Bowie State University ï¼​ City , State",Education
4 .0 GPA,Education
"Bachelor of Science : Information Systems , 2001 University of Maryland, University College ï¼​ City , State",Education
Coursework in Software Engineering and Hardware Systems,Courses & Certificates
"Coursework in Distributed Computing, Networks and Databases",Courses & Certificates
Skills,Skills
"sales, servers, staff development, strategic plans, switches, user support, employee training",Courses & Certificates
Excellent facilitator,Skills
"In collaboration with DFAS Europe, developed an automated tool that identified duplicate obligations. This tool allowed HQ USAFE to",Projects
Experience,Experience
I identified cardholder training requirements and monitored these requirements to ensure all required training was completed in support of,Courses & Certificates
I developed guidance for the GPC cardholders on procedures for requesting training for the squadron and in addition I provided answers to,Projects
Assumed the role of the Billing Official during my final rating period and completed a self inspection of the program for the Management,Experience
"In collaboration with DFAS Europe, developed an automated tool that identifies duplicate obligations by comparing records in the",Projects
I identified a method to deliver one-on-one training in support of the USAFE deployment of the Open Document Analysis (ODA) tool in,Courses & Certificates
"By utilizing Defense Connect Online I provided training remotely, virtually eliminating the need to expend funds on Temporary Duty (TDY)",Courses & Certificates
The results of this training produced results that went well above expectations and were noted by the ODA Program Management Office.,Courses & Certificates
"My challenge during that time was to staff my branch, implement an aggressive training schedule, and ensure the continuity of financial",Courses & Certificates
experienced personnel and realigning resources to support critical initiatives in Accounts Payable.,Experience
"primarily in the ""525"" series in grades ranging from GS-5 through GS-8.",Education
representatives from all DFAS Denver field sites to provide training to our Air Force base level Resource Advisors.,Courses & Certificates
"During a five week period, I provided ""Boot Camp"" training to over 400 base level personnel ensuring resource advisors were familiar with",Courses & Certificates
"This briefing identified team members, the purpose of the visit, goals, and responsibilities.",Experience
Analyzed/developed and recommended improved training procedures enabling better use of system procedures ensuring governing,Projects
"1994 Associates : Accounting City , State , USA GPA: GPA: 3.41",Education
"Accounting GPA: 3.41 174 Hours, Quarter",Education
"Attended Husson College, major Accounting 78 semester hours toward Bachelors degree.",Education
"Professional Military Comptroller School, 6wk, 4-98; Managerial Accounting I, 09-98; Interested-Based Bargaining Training for Management,",Courses & Certificates
Certifications,Courses & Certificates
Interests,Hobbies
Skills,Skills
Experience,Experience
"Florida State College of Jacksonville City , State Aircraft Coating Technician Certificate *Intern Hours; 148 hours with Associated Painters",Courses & Certificates
"Tulsa Welding School City , State Welding Certificate Job-Related Training",Courses & Certificates
Interests,Hobbies
"hours) Aircraft Corrosion (40 hours) Aircraft Paint/Finish (80 hours) Honors, Awards Navy HYPERLINK",Achievements
"""http://www.usamilitarymedals.com/navy-ribbons-awards-navy-marine-corps-achievement-medal-ribbon-c-",Achievements
"2070_21_230.html""&HYPERLINK ""http://www.usamilitarymedals.com/navy-ribbons-awards-navy-marine-corps-achievement-medal-",Achievements
"ribbon-c-2070_21_230.html"" Marine Corps Achievement Medal Ribbon Affiliations Member of the American Legion Post 76 M.U.C.H.",Achievements
Skills,Skills
"commitments. Skilled at managing entire software development process and employees including QA, Project Management, Technical Support, on",Projects
"from 15-60 people, with P&L responsibilities between $2M - $6M. Teams have been located in US, Germany, Hungary, Russia, China, and",Experience
Technology Â· Java Â· Amazon AWS Â· Hibernate Â· PHP Â· EC2 Â· Elastic Search Â· C++ Â· JSMVC Â· JUnit Â· C Â· HTML Â·,Skills
Selenium Â· CanJS Â· CSS Â· Aurora Â· PL/SQL Â· Bootstrap Â· Jenkins Â· Oracle Â· Python Â· Phabricator Â· My/SQL Â· AJAX Â·,Skills
Professional Experience,Experience
Awarded Culture Champion Award.,Achievements
"Implemented a SaaS solution, allowing smaller towns and cities the ability to use and integrate with the Fire and EMS software.",Projects
Reduced customer's server upgrade time from 4 days to 4 hours.,Education
into the IT dept for upgrades.,Education
Reduced a mobile computer's install and upgrade times from 1 day per machine to 2 hours.,Education
Conceived of and implemented critical changes in software architectural designs creating a partner eco- system.,Projects
A 30 person company using its patented lens system to project a standard 3D image into a 180 degree.,Projects
"Postgraduate courses in Cognitive and Neural Systems : 1991 Boston University ï¼​ City , State",Education
"M. S : Computer Science , 1989 Union College ï¼​ City , State Computer Science Masters Project: A Netless Neural Network - presented on",Education
Skills,Skills
"3D, Agile, AJAX, approach, B2B, budget, C, C++, competitive, CSS, database, delivery, e-commerce, Expert Systems, funds, hiring, HTML,",Skills
"PHP, image, inspection, Java, JavaScript, Marketing, MongoDB, enterprise, Network, Networks, Neural, Oracle, PL/SQL, PCI, Perl, Product",Skills
"Development, profit, prototyping, Public safety, Python, real-time 3, receiving 6, requirement, Sales, SOAP, SQL, strategic, upgrades, upgrade,",Education
"Condo Manager, Adobe, and all Microsoft applications software. Excel in problem solving and strategic planning skills.",Skills
DBA Quick Books MAS - Sage Software Microsoft Excel ADP Drive Microsoft Access Condo Manager Microsoft Word,Skills
"Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting",Education
"Bachelor of Science : Business Administration Finance , May 2010 Business Administration Finance",Education
Experience,Experience
Pull weekly-unpaid bills reports that are used for cash flow projections.,Projects
Run Project Cost Reconciliation at month end to ensure all billable expenses are posted to a project.,Projects
This ensures all enries are posted to the correct project and General Ledger account.,Projects
This provides billing information as well as the correct bottom line for each project.,Projects
Design Excel Spreadsheet for prepaid employee benefits for EOM reconciliation purposes.,Skills
"Daily reconciliation SDI's Operating, Interest Sweep, and Line of Credit accounts for most accurate cash projections.",Projects
"QuickBooks, Peachtree and excel transitioning.",Skills
Interests,Hobbies
Skills,Skills
"book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,",Projects
"Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick",Skills
"13 years of Human Resources experience and 27 years of administrative experience working in various settings *Professional, detail-oriented,",Experience
"excellent time-management skills, team player, open and honest communicator, effective at maintaining confidentiality and multi-tasker.",Skills
Skills,Skills
Experience,Experience
Assist Retirement/Benefits Manager with retirement trainings.,Courses & Certificates
Develop and present leave trainings for employees and supervisors.,Courses & Certificates
Develop and present leave trainings for employees and supervisors.,Courses & Certificates
Education and Training,Courses & Certificates
"Bluefield College City , State Bachelor of Science : Organizational Management and Leadership Organizational Management and Leadership",Education
Skills,Skills
A results driven Controls Engineer and Project Manager with over 20 years of experience in manufacturing. Skilled in Industrial Automation and,Experience
Professional Experience,Experience
"Developed asset management software to track cost, asset history and work order tracking.",Projects
Primary responsibilities include supervising and coordinating all electrical and instrumentation activities.,Experience
"Managed projects for installation of new equipment, from design concept to installation and start up.",Projects
"Managed the installation and startup of several new projects over $1MM: HG Molenaar cooker/cooler, Buscetto steam peeler, Navatta",Projects
"Project Manager 05/2005 ï¼​ 05/2008 Company Name City , State",Projects
Managed a team of 5 engineers in the design of various machine sections to ensure on-time project completion.,Projects
"Developed and administered project budgets and fiscal controls, contracts, and quality control provisions for projects.",Projects
"Accountable for projects involving the construction of new buildings and facilities, also the alteration or modification of existing units.",Projects
"Administration and Supervision - Manpower planning, Personnel development, Labor relations, Project administration and management,",Projects
Designed and implemented a Computerized Maintenance Management System(CMMS) that allowed for more efficient tracking of,Projects
2015 Certificate of Completion : AIB - HACCP Online Course - Haccp/Food Safety,Courses & Certificates
Coursework in Business Management,Courses & Certificates
"2003 NEEC Building Operator Certification : Butte College - Basic Electronics, Drafting City , State",Courses & Certificates
Skills,Skills
Skills,Skills
Excellent attention to detail,Skills
Specified proper products and materials for each project.,Projects
Specified proper products and materials for each project.,Projects
Originated and developed creative design concepts.,Projects
Specified proper products and materials for each project.,Projects
Originated and developed creative design concepts.,Projects
Specified proper products and materials for each project.,Projects
"Facilitated requests regarding product information, installation methods and product upgrade options.",Education
Originated and developed creative design concepts.,Projects
"Facilitated requests regarding product information, installation methods and product upgrade options.",Education
Originated and developed creative design concepts.,Projects
Specified proper products and materials for each project.,Projects
Originated and developed creative design concepts.,Projects
Specified proper products and materials for each project.,Projects
Originated and developed creative design concepts.,Projects
Bachelor of Fine Arts : Interior Architecture 2013 The University of North Carolina - City,Education
BIM and Design Graphics coursework,Courses & Certificates
Continuing coursework in Sustainable Design,Courses & Certificates
Architecture coursework,Courses & Certificates
Color Theory and Perspective course,Courses & Certificates
BIM and Design Graphics coursework,Courses & Certificates
Architecture coursework,Courses & Certificates
Construction Materials & Methods Building Codes Solar Technology Civil Engineering Construction Estimating Project Management : -,Projects
"Drafting Certificate : Electrical and Mechanical 1980 Island Drafting & Technical Institute - City , State",Courses & Certificates
Skills,Skills
"Press, Project Management",Projects
"4-5 years engineering experience and 1-2 years working experience. Able to work independently and under pressure, detail oriented, excellent",Experience
"mass-manufacturing. Mechanical Engineer with [Number] + years of training in varied industries, including manufacturing and high-tech",Courses & Certificates
"on [Number] new products, including the [Product name] recognized for industry excellence.",Skills
Skills,Skills
Stress analysis training,Courses & Certificates
Completing project mechanical design while providing technical solutions feedback.,Projects
VOLUNTEER The purpose of this project is to design and fabricate a cable management system for a public-access electric,Projects
EXPERIENCE vehicle charging station.,Experience
Attending scheduled control and mechanical teams' training classes.,Courses & Certificates
"EXPERIENCE Â· Learned shop safety, vehicle glider equations, drive cycle modeling, and Simulation.",Experience
Learned the powertrain architecture and components of the 2013 Chevrolet Malibu.,Experience
Mechanical Engineering Components design project (material design.,Projects
"Eischen, the director of the Hangzhou Engineering Study Abroad Program at Zhejiang University, during his program this coming summer.",Education
Graphic Communications Project (3D design.,Projects
Developed the ability to use SolidWorks within the context of a concurrent design process to understand how everyday objects are,Projects
Investigated electrical problems and developed the ability to read electrical diagrams and wire electrical panels.,Projects
"Master of science : Mechanical engineering Robotic & Manufacture Current Columbia University in the City of New York - City , State",Education
Coursework in Advanced Mechanical Engineering,Courses & Certificates
"Coursework in Drafting, Computer-Aided Design (CAD) and Computer-Aided Manufacturing (CAM)",Courses & Certificates
"Bachelor of science : Mechanical Engineering 1 2010 North Carolina State University, Raleigh (NCSU) - City , State",Education
GPA: Magna Cum Laude GPA: 3.5 GPA: 3.63/4.0 Mechanical Engineering Magna Cum Laude GPA: 3.5 GPA: 3.63/4.0,Education
North Carolina State University -,Education
GPA: Magna Cum Laude Magna Cum Laude,Education
booklet Â· In the process of receiving the Professional Development Certificate Â· NCSU Chinese basketball team player.,Courses & Certificates
Math and physics club member Â· Control and Mechanical Team member of NCSU EcoCAR2 Â· Took the global training class at NC,Courses & Certificates
State University Â· CUSA member (Chinese undergraduate student association).,Education
Skills,Skills
"Mechanical Engineering, access, Mill, modeling, navigation, printer, processes, profit, speaking, Python, Quantitative analysis, reading, read,",Skills
"Seeking a Program/Project Management position to utilize and expand my talents, knowledge and experience.",Experience
Experience,Experience
Manage cross functional and cross business unit projects to reduce expenses and best utilitize company resources Site Strategies,Projects
Divestitures Create repeatable reporting processes of data to support current and future projects Designed project plan templates for future,Projects
project managers to board new consumer customers in 120 days or 90 days or less depending on the size of the prospective customer.,Projects
Created a document repository for future project managers Create and maintain strategic reports for senior management.,Projects
Managed cross functional and cross business unit projects.,Projects
Developed an Annual Review process for CBTX and worked with the business to bring all loans into compliance.,Projects
"Developed training on GFCID, GFPIDs and CAGIDs for business and worked closely with RMs and RSOs to ensure all classifiably",Projects
"Project Manager, Vice President 01/2003 to 01/2007 Company Name City , State",Projects
Managed large scale projects (over 40 hours of effort and budgets greater than $200K).,Projects
Created Project documentation following (Software Development Life Cycle) SDLC guidelines.,Projects
Complied with project policy and procedures and use of Mystic system.,Projects
Managed a conversion project from DOS based TCL to Windows TCL for commercial lending customer.,Projects
"BCIS degree Northlake College City , State GPA: GPA: 3.0 GPA: 3.0",Education
"BCIS degree North Central Texas College City , State GPA: GPA: 3.35 GPA: 3.35",Education
Interests,Hobbies
"Church activities, Baseball and Football spectator, Gardening, Community Leader. Volunteer Organizations 1998 - 2001 Board Member and",Hobbies
"Interests Church activities, Baseball and Football spectator, Gardening, Community Leader. Volunteer Organizations 1998 - 2001 Board",Hobbies
Skills,Skills
MASTER TEACHER,Education
Skills,Skills
Coursework in Child NutritionChild Abuse Awareness trainingCoursework in Emergency PreparednessCoursework in Behavior,Courses & Certificates
Experience,Experience
Master Teacher Sep 2010 to Apr 2013,Education
"lessons.Implemented emergent curriculum to encourage student participation.Supplied one-on-one attention to each student, while maintaining",Projects
reinforcement method to redirect negative behaviors.Promoted language development skills through reading and storytelling. implemented family,Skills
Promoted language development skills through reading and storytelling.Applied the positive reinforcement method to redirect negative,Skills
throughout the day to keep them engaged.Helped prepare daily lesson plans for activities and lessons.Implemented emergent curriculum Supplied,Projects
the day to keep them engaged.Communicated effectively with educators from various grade levels.Wrote daily and weekly lesson,Education
"children.Distributed quarterly educational assessments, similar to report cards, to each parent.Developed professional relationships with parents,",Projects
Promoted language development skills through reading and storytelling.Applied the positive reinforcement method to redirect negative,Skills
classroom group dynamics.Helped prepare daily lesson plans for activities and lessons. Implemented emergent curriculum to encourage student,Projects
educators from various grade levels.Wrote daily and weekly lesson plans.Administered minor first aid to injured students.Maintained daily records,Education
"of children's individual activities, behaviors, meals and naps.Established a safe play environment for the children.Created and implemented",Projects
"Talented early education professional with diverse experience in planning and implementing various activities for promoting physical, social,",Experience
GLOBAL IT PROJECT MANAGER,Projects
My background is in Information Technology and I have over 20 years experience working in the Aviation Ground Handling sector performing,Experience
several IT roles. From Support to System Administration and most recently in Project Management,Experience
Skills,Skills
"Windows , Windows Office Suites, Citrix, Active Directory, JIRA and Trello Project Management Applications, Service Now ITSM",Projects
Experience,Experience
"Global IT Project Manager 05/2013 to Current Company Name City , State Air Menzies International Limited Â  Global IT Project Manager â€“",Projects
"My role, based in Wood Dale, IL is primarily to manage the Internal system around our global network. Managing the in-house Java Development",Experience
teams. Â  My role is to gather business knowledge and process in order to provide requirements to my Development Team that allows them to,Experience
ensure our business is supported 24/7. I also play a role in the expansion of our network when the business opens up new locations in our regions.,Experience
Â  I am also currently involved in a Data Centre transformation project where are applications are being migrated to a new Enterprise Cloud,Projects
"IT Project Manager 06/2007 to 05/2013 Company Name City , State My previous role was as an IT Project Manager with Menzies Aviation.",Experience
"Aviation Cargo facility at O'Hare Airport. During the six year in this role, I was responsible or heavily involved in several major projects. These",Experience
included Project Managing the IT Infrastructure required for our green field Station start-ups for our Joint Ventures in Hyderabad and Bangalore in,Projects
business in the UK and the rest of Europe. Other key projects and responsibilities have included Project Managing the implementation of IT,Experience
"Support Analyst and System Administrator 05/2001 to 05/2007 Company Name City , State Prior to taking a full-time Project Management role,",Experience
I Project Managed the implementation of the Global Cargo System in to Prague in 2006 while also working in the IT Technical Department based,Projects
in London Heathrow Airport. This support role also involved administrating and assisting in the installation of various Menzies' IT systems run from,Experience
Interests,Hobbies
I regularly play Golf most weekends at various courses around the south west suburbs. I am also a member of a gym and workout 2 to 3 times a,Courses & Certificates
"week. I am an avid sports fan and have a passion for English Soccer, Rugby, Collage Football and watching theCubs.",Hobbies
Education and Training,Courses & Certificates
"Bachelor of Science : Mathematics 1996 University of Glamorgan City , State , UK",Education
Skills,Skills
"5 years of experience with CAD packages (SolidWorks, Autodesk Inventor, AutoCAD, CATIA, PTC CREO)",Experience
"2.5 years of experience with CAE Softwares (HyperMesh, Abaqus, ANSYS, Optistruct)",Experience
"2.5 years of experience with Analysis (Linear & Non-linear Static, Dynamic, GD & T, Tolerance Analysis, Design Optimization)",Experience
"Experience with Sheet metal, Design for manufacturing, generating Bill of Materials, DFMEA, Sculpting.",Experience
"Experience with advanced material selection for rapid prototyping, advanced manufacturing, welding and 3D printing.",Experience
Experience,Experience
Initiated a project to perform a failure investigation in mufflers due to the low clearance of roads and provided feedback.,Projects
Developed failure reports including feedback based on common failures from the automotive industry.,Projects
Education and Training,Courses & Certificates
"Master's : Mechanical & Aerospace Engineering Illinois Institute of Technology (IIT) ï¼​ City , State Mechanical & Aerospace Engineering 3.5/4.0",Education
Bachelor of Technology : Mechanical Engineering Narsee Monjee Institute of Management Studies ï¼​ City India Mechanical Engineering 3.19/4.0,Education
Certifications,Courses & Certificates
Skills,Skills
Work Experience,Experience
